x,1-12,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11
2003-2006,0,0,0,0,0,0,0,0,0,0.081818,0.027523,0
2004-2007,0,0.03125,0.025,0,0,0,0,0,0,0,0.029703,0.0375
2005-2008,0,0.036145,0.040541,0.024793,0.033962,0.072,0.176471,0.140725,0.160714,0.104803,0.173745,0.163168
2006-2009,0.179006,0.101243,0.15678,0.102662,0.159091,0.12931,0.22161,0.225897,0.219595,0.226969,0.218243,0.226215
2007-2010,0.23291,0.221997,0.229247,0.23764,0.215957,0.221554,0.221396,0.196809,0.202783,0.19348,0.196881,0.166083
2008-2011,0.196758,0.227823,0.229124,0.263736,0.230277,0.150171,0.163802,0.161074,0.068834,0.075728,0.0624,0.031447
2009-2012,0.030303,0.04386,0.128571,0.047619,0.034884,0.06338,0.077586,0.044776,0.066667,0.052023,0.044444,0.066176
2010-2013,0.064103,0.039867,0.027397,0.019481,0,0,0,0,0,0,0,0
